team_api_id,team_fifa_api_id,team_long_name,team_short_name
9987,673.0,KRC Genk,GEN
9993,675.0,Beerschot AC,BAC
10000,15005.0,SV Zulte-Waregem,ZUL
9994,2007.0,Sporting Lokeren,LOK
9984,1750.0,KSV Cercle Brugge,CEB
8635,229.0,RSC Anderlecht,AND
9991,674.0,KAA Gent,GEN
9998,1747.0,RAEC Mons,MON
7947,,FCV Dender EH,DEN
9985,232.0,Standard de Liège,STL
8203,110724.0,KV Mechelen,MEC
8342,231.0,Club Brugge KV,CLB
9999,546.0,KSV Roeselare,ROS
8571,100081.0,KV Kortrijk,KOR
4049,,Tubize,TUB
9996,111560.0,Royal Excel Mouscron,MOU
10001,681.0,KVC Westerlo,WES
9986,670.0,Sporting Charleroi,CHA
9997,680.0,Sint-Truidense VV,STT
9989,239.0,Lierse SK,LIE
6351,2013.0,KAS Eupen,EUP
1773,100087.0,Oud-Heverlee Leuven,O-H
8475,110913.0,Waasland-Beveren,WAA
8573,682.0,KV Oostende,OOS
274581,111560.0,Royal Excel Mouscron,MOP
10260,11.0,Manchester United,MUN
10261,13.0,Newcastle United,NEW
9825,1.0,Arsenal,ARS
8659,109.0,West Bromwich Albion,WBA
8472,106.0,Sunderland,SUN
8650,9.0,Liverpool,LIV
8654,19.0,West Ham United,WHU
8528,1917.0,Wigan Athletic,WIG
10252,2.0,Aston Villa,AVL
8456,10.0,Manchester City,MCI
8668,7.0,Everton,EVE
8655,3.0,Blackburn Rovers,BLB
8549,12.0,Middlesbrough,MID
8586,18.0,Tottenham Hotspur,TOT
8559,4.0,Bolton Wanderers,BOL
10194,1806.0,Stoke City,STK
8667,1952.0,Hull City,HUL
9879,144.0,Fulham,FUL
8455,5.0,Chelsea,CHE
8462,1790.0,Portsmouth,POR
8658,88.0,Birmingham City,BIR
8602,110.0,Wolverhampton Wanderers,WOL
8191,1796.0,Burnley,BUR
8483,1926.0,Blackpool,BLA
10003,1960.0,Swansea City,SWA
10172,15.0,Queens Park Rangers,QPR
9850,1792.0,Norwich City,NOR
8466,17.0,Southampton,SOU
9798,1793.0,Reading,REA
9826,1799.0,Crystal Palace,CRY
8344,1961.0,Cardiff City,CAR
8197,95.0,Leicester City,LEI
8678,1943.0,Bournemouth,BOU
9817,1795.0,Watford,WAT
8583,57.0,AJ Auxerre,AUX
9830,71.0,FC Nantes,NAN
9827,59.0,Girondins de Bordeaux,BOR
7819,210.0,SM Caen,CAE
9746,1738.0,Le Havre AC,LEH
9831,72.0,OGC Nice,NIC
8682,1739.0,Le Mans FC,LEM
8689,217.0,FC Lorient,LOR
9748,66.0,Olympique Lyonnais,LYO
9941,1809.0,Toulouse FC,TOU
9829,69.0,AS Monaco,MON
9847,73.0,Paris Saint-Germain,PSG
8481,1823.0,AS Nancy-Lorraine,NAN
8639,65.0,LOSC Lille,LIL
9851,74.0,Stade Rennais FC,REN
8592,219.0,Olympique de Marseille,MAR
9874,226.0,FC Sochaux-Montbéliard,SOC
9855,1805.0,Grenoble Foot 38,GRE
9873,110456.0,Valenciennes FC,VAL
9853,1819.0,AS Saint-Étienne,ETI
8588,64.0,RC Lens,LEN
10249,70.0,Montpellier Hérault SC,MON
4170,111376.0,US Boulogne Cote D'Opale,BOU
108893,111989.0,AC Arles-Avignon,ARL
8521,378.0,Stade Brestois 29,BRE
8576,614.0,AC Ajaccio,AJA
4087,111271.0,Évian Thonon Gaillard FC,ETG
9836,110569.0,Dijon FCO,DIJ
9837,379.0,Stade de Reims,REI
7794,58.0,SC Bastia,BAS
10242,294.0,ES Troyes AC,TRO
9747,62.0,En Avant de Guingamp,GUI
8550,68.0,FC Metz,MET
8121,1530.0,Angers SCO,ANG
6391,110316.0,GFC Ajaccio,GAJ
9823,21.0,FC Bayern Munich,BMU
9790,28.0,Hamburger SV,HAM
8178,32.0,Bayer 04 Leverkusen,LEV
9789,22.0,Borussia Dortmund,DOR
10189,34.0,FC Schalke 04,S04
9904,485.0,Hannover 96,HAN
8721,175.0,VfL Wolfsburg,WOL
8722,31.0,1. FC Köln,FCK
9810,1824.0,Eintracht Frankfurt,EFR
8177,166.0,Hertha BSC Berlin,HBE
9912,159.0,DSC Arminia Bielefeld,BIE
8697,38.0,SV Werder Bremen,WBR
8398,162.0,FC Energie Cottbus,COT
8226,10029.0,TSG 1899 Hoffenheim,HOF
9788,23.0,Borussia Mönchengladbach,GLA
10269,36.0,VfB Stuttgart,STU
8295,1832.0,Karlsruher SC,KAR
9911,160.0,VfL Bochum,BOC
8358,25.0,SC Freiburg,FRE
8165,171.0,1. FC Nürnberg,NUR
9905,169.0,1. FSV Mainz 05,MAI
8350,29.0,1. FC Kaiserslautern,KAI
8152,110329.0,FC St. Pauli,STP
8406,100409.0,FC Augsburg,AUG
8194,110636.0,Fortuna Düsseldorf,FDU
8357,165.0,SpVgg Greuther Fürth,GRF
9776,110500.0,Eintracht Braunschweig,BRA
8460,10030.0,SC Paderborn 07,PAD
8234,111239.0,FC Ingolstadt 04,ING
8262,110502.0,SV Darmstadt 98,DAR
8524,39.0,Atalanta,ATA
8551,1838.0,Siena,SIE
8529,1842.0,Cagliari,CAG
8543,46.0,Lazio,LAZ
8530,110364.0,Catania,CAT
10233,110556.0,Genoa,GEN
8533,192.0,Chievo Verona,CHI
8690,203.0,Reggio Calabria,REG
8535,110374.0,Fiorentina,FIO
9885,45.0,Juventus,JUV
8564,47.0,Milan,ACM
9857,189.0,Bologna,BOL
8686,52.0,Roma,ROM
9875,48.0,Napoli,NAP
9882,1837.0,Sampdoria,SAM
8636,44.0,Inter,INT
9804,54.0,Torino,TOR
9888,347.0,Lecce,LEC
8600,55.0,Udinese,UDI
8540,1843.0,Palermo,PAL
9976,1848.0,Bari,BAR
8537,1844.0,Livorno,LIV
10167,50.0,Parma,PAR
9880,110915.0,Cesena,CES
9858,190.0,Brescia,BRE
6269,112225.0,Novara,NOV
9878,200.0,Pescara,PES
9876,206.0,Hellas Verona,VER
7943,111974.0,Sassuolo,SAS
8534,1746.0,Empoli,EMP
9891,111657.0,Frosinone,FRO
208931,112409.0,Carpi,CAP
8277,1909.0,Vitesse,VIT
8674,1915.0,FC Groningen,GRO
9803,1902.0,Roda JC Kerkrade,ROD
8611,1908.0,FC Twente,TWE
8525,1907.0,Willem II,WII
8593,245.0,Ajax,AJA
8464,1910.0,N.E.C.,NEC
8526,635.0,De Graafschap,GRA
9908,1903.0,FC Utrecht,UTR
8640,247.0,PSV,PSV
9791,100634.0,Heracles Almelo,HER
10235,246.0,Feyenoord,FEY
8614,100646.0,Sparta Rotterdam,SPA
10217,650.0,ADO Den Haag,HAA
6601,,FC Volendam,VOL
10228,1913.0,SC Heerenveen,HEE
10229,1906.0,AZ,ALK
9761,1904.0,NAC Breda,NAC
10219,1905.0,RKC Waalwijk,RKC
9839,100651.0,VVV-Venlo,VEN
10218,1971.0,Excelsior,EXC
6413,1914.0,PEC Zwolle,ZWO
7788,647.0,SC Cambuur,CAM
6433,100632.0,Go Ahead Eagles,GAE
6631,100626.0,FC Dordrecht,DOR
10265,1873.0,Wisła Kraków,WIS
8031,111429.0,Polonia Bytom,POB
8020,111429.0,Polonia Bytom,GOR
1601,874.0,Ruch Chorzów,CHO
8673,1871.0,Legia Warszawa,LEG
2183,1570.0,P. Warszawa,PWA
8025,111092.0,Śląsk Wrocław,SLA
8030,111091.0,Lechia Gdańsk,LGD
8244,301.0,Widzew Łódź,LOD
8242,1564.0,Odra Wodzisław,ODR
2182,873.0,Lech Poznań,POZ
8569,110744.0,GKS Bełchatów,BEL
8322,111082.0,Arka Gdynia,ARK
1957,110745.0,Jagiellonia Białystok,BIA
8028,111086.0,Piast Gliwice,PIG
2186,110747.0,Cracovia,CKR
8245,111083.0,Korona Kielce,KKI
8021,110749.0,Zagłębie Lubin,ZAG
8024,301.0,Widzew Łódź,WID
8033,111087.0,Podbeskidzie Bielsko-Biała,POD
8023,110746.0,Pogoń Szczecin,POG
8027,112512.0,Zawisza Bydgoszcz,ZAW
8019,110565.0,Górnik Łęczna,LEC
177361,,Termalica Bruk-Bet Nieciecza,TBN
9773,236.0,FC Porto,POR
9807,1889.0,CF Os Belenenses,BEL
9768,237.0,Sporting CP,SCP
7992,,Trofense,TRO
7844,1887.0,Vitória Guimarães,GUI
10238,665.0,Vitória Setúbal,SET
6403,1892.0,FC Paços de Ferreira,FER
10264,1896.0,SC Braga,BRA
10213,,Amadora,AMA
10215,1901.0,Académica de Coimbra,ACA
7841,744.0,Rio Ave FC,RA
9772,234.0,SL Benfica,BEN
6421,10018.0,Leixões SC,LEI
10214,1891.0,CD Nacional,NAC
9809,100737.0,Naval 1° de Maio,NAV
10212,1893.0,CS Marítimo,MAR
9771,1895.0,"União de Leiria, SAD",ULE
2033,111540.0,S.C. Olhanense,OLH
9765,,Portimonense,POR
10211,1897.0,SC Beira Mar,B-M
4064,,Feirense,FEI
9764,1888.0,Gil Vicente FC,GV
8348,1900.0,Moreirense FC,MOR
7842,10020.0,Estoril Praia,EST
158085,112513.0,FC Arouca,ARO
6547,100741.0,FC Penafiel,PEN
8613,1898.0,Boavista FC,BOA
6367,,Uniao da Madeira,MAD
188163,,Tondela,TON
8596,79.0,Falkirk,FAL
8548,86.0,Rangers,RAN
9860,80.0,Heart of Midlothian,HEA
9927,83.0,Motherwell,MOT
8597,82.0,Kilmarnock,KIL
10251,81.0,Hibernian,HIB
8485,77.0,Aberdeen,ABE
8066,620.0,Inverness Caledonian Thistle,INV
9925,78.0,Celtic,CEL
9800,100805.0,St. Mirren,MIR
8429,184.0,Hamilton Academical FC,HAM
9938,181.0,Dundee United,DUU
8467,100804.0,St. Johnstone FC,JOH
8457,182.0,Dunfermline Athletic,DUN
8284,180.0,Dundee FC,DUF
8649,631.0,Ross County FC,ROS
8426,1754.0,Partick Thistle F.C.,PAR
10267,461.0,Valencia CF,VAL
8661,453.0,RCD Mallorca,MAL
8371,479.0,CA Osasuna,OSA
10205,483.0,Villarreal CF,VIL
9783,242.0,RC Deportivo de La Coruña,COR
8633,243.0,Real Madrid CF,REA
8388,477.0,CD Numancia,NUM
8634,241.0,FC Barcelona,BAR
8696,456.0,Racing Santander,SAN
8302,481.0,Sevilla FC,SEV
9869,459.0,Real Sporting de Gijón,SPG
8305,1860.0,Getafe CF,GET
8603,449.0,Real Betis Balompié,BET
8479,571.0,RC Recreativo,HUE
8558,452.0,RCD Espanyol,ESP
10281,462.0,Real Valladolid,VAL
8315,448.0,Athletic Club de Bilbao,BIL
9865,1861.0,UD Almería,ALM
9906,240.0,Atlético Madrid,AMA
9864,573.0,Málaga CF,MAL
9868,1742.0,Xerez Club Deportivo,XER
8394,244.0,Real Zaragoza,ZAR
9867,260.0,CD Tenerife,TEN
10278,100879.0,Hércules Club de Fútbol,HER
8581,1853.0,Levante UD,LEV
8560,457.0,Real Sociedad,SOC
7878,110832.0,Granada CF,GRA
8370,480.0,Rayo Vallecano,RAY
9910,450.0,RC Celta de Vigo,CEL
10268,468.0,Elche CF,ELC
8372,467.0,SD Eibar,EIB
7869,1867.0,Córdoba CF,COR
8306,472.0,UD Las Palmas,LAS
9956,322.0,Grasshopper Club Zürich,GRA
6493,1714.0,AC Bellinzona,BEL
10192,900.0,BSC Young Boys,YB
9931,896.0,FC Basel,BAS
9930,434.0,FC Aarau,AAR
10179,110770.0,FC Sion,SIO
10199,897.0,FC Luzern,LUZ
9824,286.0,FC Vaduz,VAD
7955,435.0,Neuchâtel Xamax,XAM
10243,894.0,FC Zürich,ZUR
10190,898.0,FC St. Gallen,GAL
10191,1715.0,FC Thun,THU
9777,324.0,Servette FC,SER
7730,1862.0,FC Lausanne-Sports,LAU
7896,,Lugano,LUG
