id_plantel,cantidad_jugadores
17642-2014/2015-10264,26
24558-2012/2013-7730,22
10257-2013/2014-7943,35
13274-2012/2013-10219,20
13274-2008/2009-8277,17
24558-2008/2009-10192,18
1-2015/2016-1773,23
1-2008/2009-9993,17
15722-2012/2013-8028,19
21518-2015/2016-8302,31
13274-2014/2015-8611,27
1-2010/2011-9984,22
15722-2008/2009-8322,5
4769-2014/2015-10249,24
4769-2014/2015-8550,26
4769-2014/2015-9747,24
4769-2015/2016-9941,23
7809-2008/2009-10189,22
7809-2008/2009-9912,20
7809-2008/2009-9789,24
7809-2009/2010-9789,21
7809-2010/2011-8165,23
7809-2010/2011-8358,23
7809-2010/2011-10189,28
7809-2012/2013-8165,23
7809-2013/2014-8358,25
7809-2013/2014-8697,23
7809-2013/2014-8177,24
7809-2013/2014-9776,25
7809-2013/2014-8178,20
7809-2014/2015-8697,28
7809-2014/2015-10189,29
7809-2015/2016-8177,22
7809-2015/2016-9789,24
7809-2015/2016-8721,25
10257-2008/2009-9875,25
10257-2008/2009-9804,26
10257-2008/2009-9888,28
10257-2008/2009-8529,21
10257-2008/2009-8690,26
10257-2009/2010-8636,23
10257-2009/2010-8524,27
10257-2010/2011-9880,24
10257-2010/2011-8540,24
10257-2010/2011-8686,24
10257-2011/2012-10167,29
10257-2011/2012-9875,21
10257-2011/2012-10233,27
10257-2011/2012-8543,27
10257-2011/2012-6269,28
10257-2012/2013-10233,32
10257-2012/2013-8524,31
10257-2014/2015-9885,26
10257-2014/2015-8600,25
10257-2014/2015-8686,28
10257-2015/2016-8535,25
13274-2008/2009-8525,19
13274-2009/2010-10219,22
13274-2010/2011-9803,19
13274-2010/2011-9761,22
13274-2010/2011-10229,22
13274-2010/2011-10218,24
13274-2010/2011-8674,20
13274-2011/2012-9791,19
13274-2013/2014-10219,23
13274-2013/2014-8464,28
13274-2013/2014-10228,25
13274-2013/2014-8640,23
13274-2013/2014-9803,23
13274-2014/2015-8277,19
13274-2015/2016-8526,21
13274-2015/2016-9791,22
13274-2015/2016-8525,25
13274-2015/2016-10218,21
15722-2008/2009-1601,9
15722-2009/2010-8025,11
15722-2009/2010-2186,7
15722-2010/2011-10265,20
15722-2010/2011-8020,13
15722-2011/2012-2186,13
15722-2012/2013-8021,18
15722-2013/2014-8673,28
15722-2014/2015-8023,24
15722-2015/2016-8245,25
17642-2008/2009-9807,19
17642-2008/2009-6403,20
17642-2009/2010-9768,25
17642-2010/2011-10212,22
17642-2011/2012-10211,24
17642-2012/2013-9764,24
17642-2012/2013-7841,24
17642-2013/2014-10264,33
17642-2013/2014-7844,25
17642-2013/2014-9773,25
17642-2013/2014-6403,30
17642-2014/2015-9773,25
17642-2015/2016-10214,26
17642-2015/2016-10215,25
17642-2015/2016-188163,26
17642-2015/2016-10238,23
17642-2015/2016-9807,27
19694-2009/2010-10251,22
19694-2009/2010-8596,23
19694-2009/2010-9800,19
19694-2010/2011-9860,26
19694-2012/2013-8485,25
19694-2012/2013-8649,26
19694-2012/2013-9927,21
19694-2012/2013-9860,29
19694-2013/2014-9800,24
19694-2013/2014-8426,23
19694-2013/2014-8467,24
19694-2015/2016-8485,27
21518-2008/2009-8479,21
21518-2008/2009-8302,25
21518-2009/2010-8394,27
21518-2009/2010-8634,20
21518-2010/2011-8371,23
21518-2010/2011-8315,24
21518-2010/2011-8394,23
21518-2010/2011-8302,30
21518-2010/2011-9783,30
21518-2011/2012-9869,28
21518-2011/2012-9864,26
21518-2011/2012-8661,26
21518-2012/2013-8634,22
21518-2012/2013-8305,26
21518-2012/2013-10281,21
21518-2012/2013-8633,27
21518-2013/2014-7878,23
21518-2013/2014-8371,22
4769-2011/2012-9853,25
4769-2011/2012-8592,20
4769-2012/2013-8689,29
4769-2012/2013-9748,25
4769-2013/2014-9873,25
4769-2013/2014-9747,23
4769-2013/2014-8639,20
4769-2014/2015-9853,23
4769-2015/2016-9747,26
4769-2015/2016-9748,27
4769-2015/2016-8592,27
7809-2011/2012-8697,28
7809-2012/2013-10269,22
7809-2013/2014-8721,22
7809-2013/2014-8226,21
7809-2013/2014-9788,16
7809-2014/2015-9810,25
10257-2008/2009-8551,25
10257-2008/2009-8533,26
10257-2009/2010-8533,21
10257-2009/2010-8537,31
10257-2010/2011-8564,30
10257-2012/2013-9885,24
10257-2013/2014-8636,25
10257-2014/2015-8529,27
10257-2015/2016-8524,30
10257-2015/2016-8543,26
13274-2008/2009-8640,18
13274-2008/2009-8674,19
13274-2009/2010-9791,16
13274-2009/2010-8640,22
13274-2011/2012-10235,21
13274-2011/2012-10217,22
13274-2012/2013-10229,21
13274-2013/2014-7788,24
15722-2009/2010-8322,8
15722-2010/2011-8024,16
15722-2011/2012-8030,13
15722-2011/2012-8021,15
15722-2011/2012-8569,12
15722-2013/2014-10265,21
15722-2013/2014-2186,22
15722-2015/2016-8033,24
15722-2015/2016-8023,21
17642-2010/2011-9772,26
17642-2010/2011-10214,24
17642-2010/2011-9768,23
17642-2011/2012-10238,27
17642-2014/2015-7841,26
17642-2015/2016-7841,27
19694-2008/2009-9938,23
19694-2009/2010-9938,26
19694-2010/2011-8597,24
19694-2011/2012-8548,30
19694-2014/2015-9927,31
21518-2008/2009-10205,22
21518-2008/2009-9906,22
21518-2009/2010-9783,26
21518-2009/2010-9869,24
21518-2010/2011-9864,33
21518-2011/2012-10267,25
21518-2011/2012-7878,25
21518-2012/2013-8560,21
21518-2013/2014-10267,30
21518-2013/2014-8315,23
21518-2014/2015-8372,23
21518-2015/2016-8315,25
21518-2015/2016-8581,27
21518-2015/2016-7878,27
24558-2009/2010-7955,26
24558-2010/2011-10190,25
24558-2011/2012-10191,26
24558-2013/2014-9931,28
24558-2014/2015-10190,25
24558-2014/2015-9930,24
24558-2015/2016-9931,29
1-2008/2009-4049,16
1-2008/2009-9999,17
1-2009/2010-9986,20
1-2010/2011-9987,18
1-2010/2011-8571,21
1-2015/2016-9991,24
1-2015/2016-9997,30
1729-2008/2009-10194,27
1729-2008/2009-8586,26
1729-2009/2010-8191,22
1729-2009/2010-8528,25
1729-2009/2010-9879,25
1729-2010/2011-10194,21
1729-2010/2011-9825,25
1729-2011/2012-10003,22
1729-2012/2013-8455,23
1729-2012/2013-10003,23
1729-2012/2013-10260,24
1729-2013/2014-10260,29
1729-2014/2015-8586,25
1729-2014/2015-8668,27
1729-2014/2015-9825,25
1729-2014/2015-10261,25
1729-2014/2015-10260,27
1729-2015/2016-10261,28
1729-2015/2016-10260,26
1729-2015/2016-10194,23
4769-2008/2009-9831,21
4769-2009/2010-9874,24
4769-2009/2010-9855,28
4769-2010/2011-108893,28
4769-2010/2011-9873,23
4769-2010/2011-9829,29
15722-2011/2012-8673,15
15722-2011/2012-8025,17
15722-2012/2013-8020,19
15722-2013/2014-8028,28
15722-2015/2016-8673,26
17642-2012/2013-9768,29
17642-2014/2015-9772,25
17642-2015/2016-8348,27
19694-2011/2012-8467,23
19694-2015/2016-9927,25
21518-2008/2009-8315,25
21518-2010/2011-10267,25
21518-2010/2011-8560,22
21518-2012/2013-9864,28
24558-2009/2010-10179,28
24558-2009/2010-9930,23
24558-2009/2010-9956,26
24558-2015/2016-10243,29
1-2009/2010-9993,20
1-2009/2010-9987,24
1-2009/2010-9994,22
1-2010/2011-9991,27
1-2011/2012-8342,25
1-2012/2013-9989,26
1-2012/2013-8342,29
1-2014/2015-8635,26
1729-2010/2011-8650,27
1729-2012/2013-8650,24
1729-2013/2014-8455,25
1729-2014/2015-8667,26
4769-2008/2009-9941,21
4769-2008/2009-8583,21
4769-2008/2009-8481,22
13274-2012/2013-8525,23
13274-2013/2014-10235,22
15722-2009/2010-8030,7
15722-2011/2012-8033,13
17642-2010/2011-10238,21
19694-2009/2010-8429,26
4769-2009/2010-9853,26
4769-2012/2013-8639,22
4769-2013/2014-4087,25
4769-2013/2014-9829,26
4769-2014/2015-9748,24
7809-2008/2009-9788,26
7809-2008/2009-8721,21
7809-2010/2011-9790,25
7809-2010/2011-9904,21
7809-2011/2012-8178,22
7809-2012/2013-9788,21
7809-2012/2013-8406,27
7809-2014/2015-8722,22
7809-2015/2016-9823,22
10257-2010/2011-9875,23
10257-2010/2011-8529,19
10257-2010/2011-9882,26
10257-2012/2013-8535,26
10257-2013/2014-8529,28
10257-2013/2014-8533,29
10257-2014/2015-8636,29
13274-2009/2010-8593,24
13274-2010/2011-8464,19
13274-2010/2011-10235,23
13274-2011/2012-8464,23
13274-2011/2012-9803,19
13274-2015/2016-8593,21
15722-2009/2010-8242,6
17642-2010/2011-10215,23
19694-2014/2015-8429,23
19694-2014/2015-8597,25
1729-2014/2015-10194,22
4769-2008/2009-9827,22
4769-2011/2012-8576,24
7809-2008/2009-8177,20
7809-2008/2009-9911,24
7809-2010/2011-8722,26
7809-2014/2015-9788,18
21518-2010/2011-9865,24
21518-2011/2012-8581,22
21518-2014/2015-9865,22
21518-2014/2015-10268,22
21518-2015/2016-8372,24
24558-2008/2009-10243,17
24558-2009/2010-10243,24
24558-2010/2011-10192,22
24558-2011/2012-9956,29
24558-2014/2015-10199,23
1-2008/2009-9987,19
1-2009/2010-9984,21
1-2012/2013-8635,24
1-2012/2013-9984,26
1-2012/2013-10000,21
1-2014/2015-9984,23
1-2015/2016-274581,31
1729-2008/2009-8528,25
1729-2009/2010-8462,32
1729-2010/2011-8654,32
1729-2011/2012-9850,27
1729-2011/2012-8668,28
1729-2013/2014-8654,26
13274-2009/2010-9803,20
17642-2010/2011-9809,21
17642-2014/2015-9807,25
1729-2014/2015-10003,24
4769-2009/2010-9941,27
4769-2009/2010-8682,28
4769-2011/2012-9873,22
4769-2012/2013-8592,22
7809-2015/2016-9810,28
10257-2010/2011-9857,24
17642-2012/2013-10264,29
17642-2014/2015-7842,27
1729-2014/2015-8191,21
21518-2008/2009-8305,22
21518-2011/2012-8634,26
21518-2012/2013-8581,26
21518-2013/2014-9906,24
24558-2012/2013-10190,23
24558-2013/2014-7730,29
1-2011/2012-8635,23
1-2015/2016-8342,31
1729-2008/2009-8668,23
1729-2010/2011-8659,23
24558-2013/2014-10191,23
1-2008/2009-9998,16
1-2009/2010-9985,27
1729-2011/2012-10260,26
1-2011/2012-9991,26
1-2009/2010-8635,20
1-2008/2009-9985,17
21518-2015/2016-8634,22
13274-2008/2009-9803,16
13274-2008/2009-9791,20
1-2013/2014-8475,21
15722-2011/2012-8244,13
15722-2009/2010-8028,10
15722-2008/2009-2183,5
15722-2008/2009-8673,8
17642-2008/2009-10212,19
4769-2008/2009-9830,25
1729-2015/2016-9826,26
15722-2008/2009-8025,8
4769-2014/2015-4087,28
4769-2014/2015-9837,24
4769-2015/2016-9831,28
7809-2008/2009-10269,21
7809-2008/2009-8398,20
7809-2009/2010-10189,24
7809-2009/2010-9790,20
7809-2009/2010-8178,21
7809-2009/2010-9823,25
7809-2011/2012-9904,20
7809-2011/2012-8358,31
7809-2012/2013-8721,27
7809-2012/2013-9823,23
7809-2012/2013-9905,25
7809-2012/2013-9810,23
7809-2013/2014-10189,24
7809-2013/2014-10269,25
7809-2013/2014-9823,24
7809-2014/2015-9905,24
7809-2015/2016-9790,23
7809-2015/2016-8697,27
7809-2015/2016-8406,25
10257-2008/2009-8540,22
10257-2008/2009-9857,27
10257-2008/2009-9882,24
10257-2009/2010-8686,23
10257-2010/2011-9858,26
10257-2010/2011-9976,33
10257-2011/2012-8535,25
10257-2011/2012-8533,24
10257-2011/2012-8530,29
10257-2012/2013-8543,27
10257-2012/2013-8686,24
10257-2013/2014-9857,25
10257-2013/2014-8530,27
10257-2014/2015-7943,25
10257-2014/2015-8533,24
10257-2014/2015-9804,26
10257-2014/2015-10233,30
10257-2014/2015-10167,32
10257-2015/2016-8686,25
10257-2015/2016-9876,28
10257-2015/2016-8564,28
10257-2015/2016-9885,25
13274-2008/2009-10235,20
13274-2008/2009-8464,19
13274-2008/2009-10229,21
13274-2008/2009-6601,13
13274-2008/2009-9761,17
13274-2009/2010-10229,22
13274-2009/2010-8464,23
13274-2010/2011-8277,27
13274-2012/2013-9791,23
13274-2012/2013-9761,18
13274-2013/2014-8674,22
13274-2013/2014-6433,19
13274-2014/2015-9791,23
13274-2014/2015-6631,26
13274-2014/2015-10228,22
13274-2014/2015-7788,23
13274-2014/2015-10218,20
13274-2015/2016-10229,28
13274-2015/2016-8277,22
15722-2009/2010-1601,10
15722-2011/2012-2182,19
15722-2012/2013-8033,18
15722-2012/2013-2182,20
15722-2012/2013-2183,20
15722-2012/2013-8030,18
15722-2013/2014-8024,27
15722-2013/2014-8030,24
15722-2014/2015-1957,26
15722-2014/2015-8245,24
15722-2014/2015-8027,29
15722-2014/2015-8020,18
15722-2014/2015-8033,26
15722-2015/2016-2182,27
15722-2015/2016-8025,25
17642-2008/2009-6421,20
17642-2008/2009-7841,18
17642-2009/2010-10238,24
17642-2011/2012-10215,26
17642-2011/2012-9773,26
17642-2011/2012-9771,35
17642-2012/2013-7844,25
17642-2013/2014-2033,26
17642-2013/2014-10212,26
17642-2014/2015-8348,24
17642-2014/2015-9764,26
17642-2015/2016-158085,25
17642-2015/2016-7844,32
17642-2015/2016-9773,27
19694-2008/2009-8548,26
19694-2008/2009-9800,21
19694-2008/2009-9925,23
19694-2008/2009-8066,23
19694-2009/2010-9927,22
19694-2010/2011-8429,32
19694-2010/2011-9925,27
19694-2011/2012-8597,30
19694-2011/2012-9938,22
19694-2012/2013-9938,21
19694-2013/2014-10251,25
19694-2013/2014-9927,22
19694-2014/2015-8485,23
19694-2015/2016-9938,35
21518-2009/2010-10281,29
21518-2010/2011-9906,23
21518-2013/2014-10281,24
21518-2013/2014-8603,30
4769-2011/2012-9874,26
4769-2011/2012-9836,26
4769-2012/2013-9827,25
4769-2012/2013-4087,26
4769-2012/2013-8521,30
4769-2012/2013-9851,26
4769-2013/2014-10249,25
7809-2008/2009-8697,24
7809-2010/2011-9789,18
7809-2014/2015-8721,22
7809-2015/2016-8722,21
10257-2008/2009-8535,25
10257-2008/2009-8543,23
10257-2009/2010-9976,26
10257-2010/2011-8600,20
10257-2011/2012-8564,28
10257-2012/2013-9804,25
10257-2012/2013-8529,24
10257-2013/2014-9804,24
13274-2010/2011-10217,20
13274-2011/2012-9839,22
13274-2011/2012-8526,23
13274-2011/2012-10219,19
13274-2012/2013-8640,23
13274-2013/2014-8593,27
13274-2014/2015-9908,32
13274-2015/2016-10228,17
13274-2015/2016-9803,27
15722-2009/2010-8569,11
15722-2013/2014-2182,26
17642-2008/2009-10238,18
17642-2008/2009-9809,19
17642-2010/2011-10264,29
17642-2010/2011-9773,24
17642-2013/2014-9764,25
19694-2010/2011-8548,25
19694-2015/2016-9925,30
21518-2008/2009-8603,26
21518-2009/2010-8315,22
21518-2010/2011-9869,26
21518-2011/2012-8371,26
21518-2014/2015-9864,22
21518-2014/2015-8305,25
21518-2015/2016-8560,25
24558-2009/2010-6493,28
24558-2010/2011-6493,23
24558-2010/2011-10243,27
24558-2010/2011-9931,25
24558-2011/2012-9777,24
24558-2011/2012-10199,22
24558-2012/2013-9956,20
24558-2012/2013-10191,24
24558-2013/2014-10192,26
24558-2014/2015-10243,26
24558-2014/2015-9931,27
24558-2015/2016-10192,26
1-2010/2011-9994,21
1-2011/2012-8571,21
1-2011/2012-8203,22
1-2013/2014-8573,19
1-2014/2015-8573,23
1-2014/2015-9994,24
1-2014/2015-9991,24
1-2014/2015-8475,25
1-2015/2016-10000,24
1729-2008/2009-8472,24
1729-2009/2010-10194,22
1729-2009/2010-8456,25
1729-2010/2011-8658,24
1729-2010/2011-10252,30
1729-2010/2011-8455,22
1729-2010/2011-8602,25
1729-2011/2012-9879,26
1729-2011/2012-9825,25
1729-2011/2012-10172,30
1729-2012/2013-8654,24
1729-2013/2014-10261,24
1729-2013/2014-8650,20
1729-2013/2014-8456,23
1729-2014/2015-8650,24
1729-2015/2016-9850,26
4769-2008/2009-9847,20
4769-2008/2009-8689,24
4769-2009/2010-9827,23
4769-2009/2010-8481,23
4769-2009/2010-8639,24
4769-2010/2011-9748,23
4769-2010/2011-9853,22
13274-2012/2013-6413,24
13274-2012/2013-8464,24
13274-2014/2015-9761,27
15722-2010/2011-2182,21
15722-2011/2012-2183,19
15722-2014/2015-2182,26
17642-2009/2010-10215,27
17642-2009/2010-6403,24
17642-2011/2012-9772,24
17642-2012/2013-8348,19
17642-2013/2014-7842,21
17642-2015/2016-10264,31
17642-2015/2016-8613,30
19694-2008/2009-8485,21
19694-2010/2011-8467,29
21518-2008/2009-10281,24
21518-2008/2009-8371,25
21518-2009/2010-9906,28
21518-2011/2012-8558,25
21518-2011/2012-8394,25
21518-2013/2014-8558,24
21518-2014/2015-9910,18
21518-2015/2016-8306,25
21518-2015/2016-8558,25
24558-2008/2009-9824,18
24558-2010/2011-10199,22
24558-2015/2016-10190,26
1-2008/2009-9994,15
1-2011/2012-1773,23
1-2011/2012-9993,24
1-2012/2013-8475,29
1-2015/2016-9994,26
1-2015/2016-9986,24
1729-2009/2010-9825,26
1729-2009/2010-8559,23
1729-2010/2011-8528,23
1729-2011/2012-8472,27
1729-2011/2012-8559,25
1729-2012/2013-9798,27
1729-2012/2013-8456,24
1729-2012/2013-8659,23
1729-2013/2014-8586,26
4769-2008/2009-8639,22
4769-2009/2010-9873,23
4769-2009/2010-8689,23
13274-2013/2014-6413,24
13274-2015/2016-10217,23
15722-2008/2009-10265,10
15722-2014/2015-8569,23
17642-2012/2013-6403,19
17642-2012/2013-9773,20
19694-2012/2013-8066,23
19694-2013/2014-9860,21
21518-2009/2010-9864,24
4769-2010/2011-8689,21
4769-2010/2011-9941,22
4769-2013/2014-9847,22
4769-2013/2014-8592,20
4769-2013/2014-9830,25
7809-2008/2009-8722,23
7809-2009/2010-8165,27
7809-2009/2010-9788,22
7809-2009/2010-9810,23
7809-2015/2016-9788,24
10257-2008/2009-10233,20
10257-2010/2011-9885,29
10257-2012/2013-8540,32
10257-2015/2016-9875,19
10257-2015/2016-10233,29
13274-2008/2009-10217,19
13274-2013/2014-8611,22
13274-2015/2016-8611,26
15722-2008/2009-2182,11
15722-2010/2011-8030,12
15722-2010/2011-8322,8
15722-2010/2011-1957,12
17642-2009/2010-10212,25
17642-2014/2015-8613,25
17642-2015/2016-7842,23
19694-2008/2009-8596,23
19694-2011/2012-9860,26
19694-2014/2015-9925,31
1729-2014/2015-9826,24
1729-2014/2015-8456,23
1729-2015/2016-9817,20
1729-2015/2016-8659,22
1729-2015/2016-8650,30
1729-2015/2016-8455,24
4769-2008/2009-9874,27
4769-2010/2011-9827,26
4769-2012/2013-8481,24
4769-2014/2015-9827,27
7809-2009/2010-8721,23
7809-2011/2012-8406,25
10257-2009/2010-8540,20
10257-2009/2010-10233,25
10257-2011/2012-8529,21
19694-2014/2015-8649,29
21518-2012/2013-8315,22
21518-2013/2014-9910,23
24558-2008/2009-7955,20
24558-2009/2010-9931,22
24558-2010/2011-9956,28
24558-2012/2013-10243,26
24558-2015/2016-10179,25
1-2008/2009-10001,14
1-2010/2011-9989,31
1-2010/2011-10001,24
1-2011/2012-9984,22
1-2012/2013-9993,33
1-2013/2014-9989,20
1-2014/2015-10000,29
1-2015/2016-8573,19
1729-2008/2009-8659,27
1729-2009/2010-8472,25
1729-2010/2011-8586,26
1729-2010/2011-9879,26
1729-2012/2013-10194,19
10257-2014/2015-8534,19
10257-2014/2015-8540,25
10257-2015/2016-9891,28
10257-2015/2016-8540,27
13274-2009/2010-9839,23
13274-2015/2016-8640,20
15722-2015/2016-8030,27
19694-2009/2010-8467,22
19694-2012/2013-9800,22
4769-2011/2012-9941,21
4769-2011/2012-9827,25
7809-2010/2011-8226,23
7809-2013/2014-9789,25
13274-2008/2009-8593,24
19694-2015/2016-8467,25
21518-2014/2015-8315,25
21518-2015/2016-10267,27
24558-2013/2014-10243,26
1-2014/2015-9986,24
1-2014/2015-9989,30
1-2015/2016-8475,21
1729-2008/2009-8462,26
24558-2009/2010-10190,22
24558-2011/2012-9931,27
1729-2009/2010-10252,20
4769-2008/2009-8682,22
4769-2014/2015-8689,26
1-2009/2010-10001,23
10257-2011/2012-8686,27
13274-2013/2014-8277,21
1-2015/2016-8203,24
17642-2011/2012-10212,22
21518-2008/2009-9869,23
10257-2011/2012-9888,30
24558-2011/2012-7955,21
1729-2010/2011-8655,26
1729-2014/2015-8455,21
10257-2009/2010-10167,23
13274-2008/2009-8614,20
15722-2008/2009-8242,5
13274-2014/2015-10229,21
1-2013/2014-9991,20
15722-2008/2009-8028,5
